NLOS,RANGE,FP_IDX,FP_AMP1,FP_AMP2,FP_AMP3,CIR_PWR,MAX_NOISE,CIR_PCA1,CIR_PCA2,CIR_PCA3,CIR_PCA4,CIR_PCA5,CIR_PCA6,CIR_PCA7,CIR_PCA8,CIR_PCA9,CIR_PCA10
0,3.9,745,18712,10250,11576,11855,967,-10.89924036625071,21.53668224622805,-1.6630856650605268,-9.06908950816004,-6.491535624090025,-2.4429921563838346,-6.911026320192728,-8.47563809118694,6.141115878671077,-11.581698375806354
0,0.66,749,11239,6313,4712,18968,1133,28.390261475536718,-54.58712951613254,-34.088006839515124,-11.310027418260919,-6.32476211945477,-2.996816054310182,2.7709598376290887,-1.6427502928047308,-13.469134837962292,-11.316175167075572
1,7.86,746,4355,5240,3478,14699,894,-17.583032872681596,-20.23449766811366,-10.94306291196259,-11.94625652639779,-3.6067741300863534,-0.17368488422227749,-2.1442009494857337,0.6186774373605404,10.593723398963292,4.911455773591268
1,3.48,750,8502,8416,5890,8748,1127,-39.10383126782099,-17.167942111030307,-1.7927144046327026,-0.21670366633043897,-3.921087238429611,-2.4078286364459838,-0.8078137690437133,0.7380709529849909,-3.2127614130058753,-4.961819701814539
0,1.19,746,17845,18095,12058,11380,1744,55.25005825887845,56.39861310506047,22.352258583492596,-9.362802804084208,-8.034040445562686,-17.333964892670128,-0.7937470832866043,23.45171279052662,-28.66217277879778,13.351737208141097
1,1.27,746,3446,13680,11955,10256,1397,-6.863463102928378,4.962565982703757,0.7831619496271145,8.034818206122884,-2.6485436031115652,-3.554183561836659,-10.777399527944956,16.09815114614788,-0.8389598406461185,-0.42718439138667136
0,0.28,748,18991,19444,18370,13006,3904,80.20005727475886,13.423382410554979,40.34751973542084,-19.82066704840342,7.579177690087749,-11.896383502240631,-12.59220962917132,-1.7725073515843517,1.384823387263025,-20.55496276834831
0,1.23,744,14781,10399,10136,8025,1035,20.229732865678468,58.39765468259917,-40.72785874742135,16.409829479733713,-12.187303139480509,2.244198313389571,-3.8318286233105163,16.710548578527305,-8.944335779813777,7.220297562490238
1,4.99,745,4053,8174,5404,9956,1485,-39.30109320190602,-4.89780266986703,-6.189580386227591,-6.273368852075535,1.2447542190380056,4.167123229581756,0.3152755538923701,2.8257125328711283,6.076782779285891,6.330146412040691
0,1.17,749,10153,7675,6064,11466,2487,40.00052290241971,-42.3881339148927,-29.024532943343612,-35.70096196761175,17.691645907970265,6.188296617531948,11.044519935920139,12.537518623417267,-7.2652997647805515,-16.593338683555555
