FP_IDX,FP_AMP1,FP_AMP2,CIR_PWR,MAX_NOISE,RXPACC,PREAM_LEN,CIR_PC1,CIR_PC2,CIR_PC3,CIR_PC4,CIR_PC5,CIR_PC6,CIR_PC7,CIR_PC8,RANGE
745.0,18712.0,10250.0,11855.0,967.0,611.0,1024.0,-10.899240366251426,21.536682246238016,-1.6630856481912943,-9.069089381480238,-6.491533889022792,-2.4429770755317217,-6.911035642435305,-8.475677148883946,3.9
749.0,11239.0,6313.0,18968.0,1133.0,447.0,1024.0,28.390261475533865,-54.58712951603446,-34.088006734368435,-11.31002770296069,-6.324734412197606,-2.996781397821469,2.770748509811995,-1.6431887610559468,0.66
746.0,17845.0,18095.0,11380.0,1744.0,276.0,1024.0,55.25005825888054,56.398613104990986,22.35225850058557,-9.362802866416468,-8.034060894961366,-17.334000602978318,-0.7936330748784034,23.452082708020164,1.19
748.0,18991.0,19444.0,13006.0,3904.0,283.0,1024.0,80.20005727476034,13.423382410500974,40.34751965955453,-19.820667002686147,7.579158777762821,-11.896429749129068,-12.592021563106412,-1.772266705428634,0.28
744.0,14781.0,10399.0,8025.0,1035.0,272.0,1024.0,20.22973286568043,58.39765468252528,-40.72785881706741,16.40982944082131,-12.187323657363352,2.244173208735045,-3.831715826134272,16.71090503927162,1.23
749.0,10153.0,7675.0,11466.0,2487.0,301.0,1024.0,40.000522902413344,-42.38813391468113,-29.024532719489404,-35.700961905075864,17.69170720868516,6.188382344229834,11.044170695292337,12.536463846075156,1.17
749.0,12079.0,18968.0,12342.0,1187.0,278.0,1024.0,62.529284619153934,-42.74479867258946,16.44986457985586,19.262335768874237,25.241422460570902,-15.413385400384913,-42.33494869277238,9.94506048416567,1.28
745.0,7665.0,908.0,9683.0,1421.0,282.0,1024.0,53.45295333299576,-18.28917471707648,14.978042580387982,2.269288441960261,-14.43587966440545,-19.937980102198384,32.33260674052392,8.539849363909081,2.75
744.0,10364.0,7633.0,10456.0,1354.0,272.0,1024.0,44.795955949790034,72.52068464806305,-12.88051040654194,2.25170568667875,2.4440931339982264,9.846265541437583,-5.70792479962701,0.0339219252641964,2.34
749.0,2565.0,9501.0,12887.0,861.0,380.0,1024.0,26.36543609190362,-39.836083512026754,-12.678596909085924,-10.704238987617552,5.791003757152445,-11.23591663635671,-2.711629794764809,-5.877329768308419,1.75
748.0,14579.0,6746.0,15614.0,1565.0,362.0,1024.0,40.19353097620876,-31.91949624083541,-8.671725859814966,-11.298398800555503,14.63482322345309,20.05506104141796,-3.5953420066091746,6.362597363009331,1.27
