FP_IDX,FP_AMP1,FP_AMP2,CIR_PWR,MAX_NOISE,RXPACC,PREAM_LEN,STDEV_NOISE,FP_AMP3,CIR_PC1,CIR_PC2,CIR_PC3,CIR_PC4,CIR_PC5,CIR_PC6,CIR_PC7,CIR_PC8,NLOS,RANGE
745.0,18712.0,10250.0,11855.0,967.0,611.0,1024.0,64.0,11576.0,-10.899240366251892,21.536682246217072,-1.6630856445042366,-9.069089454303743,-6.491532893441407,-2.443001915682373,-6.911024440462659,-8.475578030602817,0.0,3.9
749.0,11239.0,6313.0,18968.0,1133.0,447.0,1024.0,64.0,4712.0,28.390261475536995,-54.58712951614857,-34.08800682569462,-11.310027601160096,-6.3247579280346855,-2.9968001436631746,2.7709791094512513,-1.6426438738059654,0.0,0.66
746.0,4355.0,5240.0,14699.0,894.0,723.0,1024.0,60.0,3478.0,-17.583032872683432,-20.234497668063003,-10.943062931106024,-11.946256657290185,-3.6067810628956414,-0.17367723923491526,-2.1442623772428906,0.6183849238920356,1.0,7.86
750.0,8502.0,8416.0,8748.0,1127.0,1024.0,1024.0,76.0,5890.0,-39.10383126782044,-17.16794211104978,-1.7927143911259193,-0.2167037044049625,-3.9210838034027886,-2.407825266221563,-0.8077928684369863,0.7381835080659094,1.0,3.48
746.0,17845.0,18095.0,11380.0,1744.0,276.0,1024.0,68.0,12058.0,55.25005825887858,56.39861310505986,22.352258581087497,-9.362802827588613,-8.03404029552724,-17.333961717873194,-0.7937432534015427,23.451722320801263,0.0,1.19
746.0,3446.0,13680.0,10256.0,1397.0,600.0,1024.0,92.0,11955.0,-6.863463102928683,4.962565982712936,0.7831619487581905,8.03481821801373,-2.648544655612512,-3.554186886684161,-10.777413138339556,16.098097954050118,1.0,1.27
748.0,18991.0,19444.0,13006.0,3904.0,283.0,1024.0,148.0,18370.0,80.20005727475888,13.423382410563963,40.34751970410275,-19.82066693576874,7.579172513739352,-11.896380944611336,-12.592201552242303,-1.7725562597166749,0.0,0.28
744.0,14781.0,10399.0,8025.0,1035.0,272.0,1024.0,40.0,10136.0,20.2297328656782,58.39765468260028,-40.72785873101596,16.409829395059607,-12.187301582423412,2.244198467907442,-3.8318413778489533,16.710531139974247,0.0,1.23
745.0,4053.0,8174.0,9956.0,1485.0,1024.0,1024.0,100.0,5404.0,-39.30109320190604,-4.89780266986595,-6.189580391655503,-6.273368883033483,1.2447534120053858,4.167128626522527,0.31527823312108194,2.8257037381661996,1.0,4.99
749.0,10153.0,7675.0,11466.0,2487.0,301.0,1024.0,108.0,6064.0,40.000522902420755,-42.38813391491685,-29.024532955790168,-35.70096185723416,17.69164734268162,6.188295427376322,11.044561573407753,12.537667137379936,0.0,1.17
749.0,12079.0,18968.0,12342.0,1187.0,278.0,1024.0,44.0,16401.0,62.52928461915526,-42.74479867263057,16.449864544359723,19.26233581883803,25.24141372959442,-15.41338847686662,-42.334877054485816,9.945259960107832,0.0,1.28
745.0,122.0,17389.0,15848.0,1073.0,884.0,1024.0,72.0,16780.0,-20.795072905086418,12.417897959428855,-4.9806778119465065,0.252359109432516,5.65919390459593,1.4666039490354614,0.6775246700010666,-1.5666834839285224,1.0,9.09
745.0,7665.0,908.0,9683.0,1421.0,282.0,1024.0,60.0,1792.0,53.45295333298873,-18.28917471684626,14.978042804833603,2.2692884072974953,-14.435823615794673,-19.937905876402834,32.332253285100315,8.538696042892298,0.0,2.75
