FP_IDX,FP_AMP1,FP_AMP2,CIR_PWR,MAX_NOISE,RXPACC,FRAME_LEN,CIR_PC1,CIR_PC2,CIR_PC3,CIR_PC4,CIR_PC5,CIR_PC6,RANGE
745.0,18712.0,10250.0,11855.0,967.0,611.0,39.0,-9.034594303381452,21.2471681543263,2.6832004088575876,12.696969554033167,3.976159614588836,-2.5632281533244954,3.9
749.0,11239.0,6313.0,18968.0,1133.0,447.0,27.0,25.389144456055334,-55.41787899475229,34.63162470878148,20.23627316970168,-0.8807087176736633,-2.8206481477182326,0.66
746.0,4355.0,5240.0,14699.0,894.0,723.0,27.0,-19.931322427923202,-18.167154801142686,8.725183092401911,10.258672113614901,3.0370471070913707,0.30762602899265595,7.86
750.0,8502.0,8416.0,8748.0,1127.0,1024.0,39.0,-38.49147035702931,-15.676134185242915,2.7145426910056054,1.7865446179445597,2.430626417703142,1.9667070375565088,3.48
746.0,17845.0,18095.0,11380.0,1744.0,276.0,27.0,58.91508110057923,55.849608998147644,-15.308050449908814,8.927245901908137,2.4249119441721803,22.160814385454522,1.19
746.0,3446.0,13680.0,10256.0,1397.0,600.0,27.0,-4.609326037072295,4.840787382253748,3.928057448921257,-6.443792152756554,-2.3907272618704214,7.9747441991842205,1.27
748.0,18991.0,19444.0,13006.0,3904.0,283.0,39.0,81.57480087638459,11.904878361323338,-38.91323517667452,21.524594016889118,-8.004907825824764,6.734394728272665,0.28
744.0,14781.0,10399.0,8025.0,1035.0,272.0,27.0,22.412044002731207,53.435679352394004,43.87513536756321,-11.12580490215888,6.093612248520376,2.2717723824224962,1.23
745.0,4053.0,8174.0,9956.0,1485.0,1024.0,27.0,-39.85416530113897,-2.5817562943781778,5.00938641413276,3.16850483292051,-1.7748730583435282,-2.482714478983941,4.99
749.0,10153.0,7675.0,11466.0,2487.0,301.0,27.0,33.57025547005865,-41.16379791092914,21.525973478804058,34.637727945893566,-20.528411936277415,-9.601540465625169,1.17
749.0,12079.0,18968.0,12342.0,1187.0,278.0,39.0,63.890397853216385,-46.55513371985722,-12.102079755388056,-11.08068292124788,-33.188874630758264,16.220670299143226,1.28
745.0,122.0,17389.0,15848.0,1073.0,884.0,27.0,-20.687229296592914,12.810778433908563,3.6584376611252885,-1.966533128899227,-5.802674158913044,-0.7350130992313026,9.09
745.0,7665.0,908.0,9683.0,1421.0,282.0,39.0,54.008568332173496,-20.001466908283412,-11.796499534607628,2.9450573229701753,20.3753106776135,19.62134624546299,2.75
748.0,10985.0,16999.0,6106.0,967.0,473.0,39.0,-11.13895989668897,-9.860185463888035,-19.510450735896104,2.319010818432229,-18.55572401034974,2.314717687298057,4.58
747.0,9955.0,19370.0,9304.0,1440.0,473.0,39.0,10.021258166529414,11.158833514678477,-23.655827766042798,9.52228857028339,1.4755507189219104,-5.714450569223464,1.23
746.0,9067.0,16420.0,8192.0,897.0,731.0,39.0,-27.128472669945364,17.250633741858888,3.7724964646611165,7.607150641310285,10.947939387783638,-2.207659505311731,2.71
744.0,10364.0,7633.0,10456.0,1354.0,272.0,27.0,44.6210481813211,69.44092755372304,9.742356498580047,-6.5084721859221615,-0.5626010844053745,-7.963295973896078,2.34
749.0,2565.0,9501.0,12887.0,861.0,380.0,39.0,20.988368040325437,-38.31472081471229,7.914530089396615,9.459585498186796,-6.140306809214475,10.116997528710002,1.75
748.0,14579.0,6746.0,15614.0,1565.0,362.0,27.0,32.525737097485866,-29.40882454618391,0.8105185989233448,-0.9099060861205674,-10.74334111943752,-15.207956025391619,1.27
747.0,7720.0,10902.0,15078.0,1019.0,1024.0,27.0,-33.68194360703953,-3.745019741188167,-2.883380094695392,12.278554417504344,1.8412941156204685,-1.6515397260968472,6.86
744.0,8198.0,10673.0,10315.0,1300.0,1024.0,27.0,-34.593701734277815,10.08509122409137,-6.92639313705747,-4.760277087203664,6.506445604686841,-5.7689762574348435,4.51
747.0,1390.0,17392.0,11821.0,1078.0,335.0,39.0,38.42017719358414,11.828893951947668,16.365063815984403,29.961973271729484,7.330049213038354,-12.476005231861187,1.08
746.0,5184.0,8350.0,12220.0,1563.0,345.0,39.0,50.02550075741097,-14.130119907821125,10.238424985524658,-0.7225423028165993,11.565321848636357,-2.604448209103778,3.06
744.0,11895.0,16864.0,9503.0,815.0,413.0,27.0,5.828660867818744,29.226298216307235,12.922710689352819,-16.675301241185355,-3.314912251105968,6.175335481846734,3.51
748.0,6545.0,17083.0,11634.0,968.0,355.0,27.0,30.78383650133426,-6.551250588648593,-11.354109308014761,21.88452219450392,-10.903063106169084,5.440708870593348,1.67
737.0,1358.0,1523.0,1401.0,1301.0,1024.0,39.0,-54.3001955615085,2.365292969012131,-6.316605882423647,-3.815713641326728,1.3681190539393981,1.2957075966811107,2.8
744.0,4411.0,11468.0,9338.0,903.0,350.0,39.0,13.404480531289147,37.85036645947919,-0.6192940259522721,13.571279527325897,-1.7896542520860264,-6.263368591154238,3.1
749.0,3454.0,6097.0,4218.0,1086.0,1025.0,27.0,-49.655209384568224,-6.232499969562645,-7.044180354305232,-3.2908842097986235,0.47542651376640993,-0.728319374009414,8.5
744.0,14733.0,5056.0,8134.0,892.0,485.0,27.0,-10.201259470127736,23.314555375710565,11.142202798228082,0.1563994813722405,-7.624428972196155,-4.084924711283046,4.41
749.0,9819.0,18022.0,9326.0,1068.0,856.0,27.0,-29.61202544211593,-6.19136313562221,-15.041543624068936,2.21307989983779,-8.314955364873994,2.2577228244789582,5.03
748.0,568.0,11739.0,9604.0,1015.0,1024.0,39.0,-30.85634413049923,-6.388875315718453,-4.2085066437728145,8.093880047796286,2.4749174517040404,-4.273882733279644,2.89
750.0,6414.0,17788.0,13584.0,2804.0,320.0,27.0,30.065206525765113,-42.13705055509108,10.854505176324034,1.4610008212578023,-17.170468840306047,-32.959382649304175,2.16
744.0,3693.0,8914.0,9633.0,717.0,492.0,27.0,-5.05954528650975,-10.822952568510212,17.548589141004847,-1.581039490318954,11.581118739596178,23.48229011607088,1.28
746.0,11914.0,17712.0,9656.0,838.0,329.0,27.0,29.00951886958199,37.2805506570709,3.8116202498707192,13.975518375432818,11.788528008344166,-7.660213462048731,1.49
747.0,9340.0,19035.0,11989.0,1853.0,323.0,39.0,40.26168743413092,19.60014153275265,-7.455825527262906,33.301755664968674,18.57443913033615,0.5072396664667606,1.64
745.0,9025.0,8083.0,17203.0,1818.0,402.0,27.0,43.829010033034805,-8.954838469125315,13.856111583427968,13.737919604158098,0.13409780439892396,15.098306454964353,4.7
745.0,15614.0,2652.0,7634.0,836.0,339.0,39.0,21.142309092661865,26.395221770091297,-14.394210164984,2.978407020982314,10.607540060013005,3.5870771932570076,2.91
747.0,3645.0,3450.0,1301.0,1266.0,1024.0,27.0,-50.235688059140635,-1.909663124452072,-5.5765797234481065,-2.8314315116384137,2.4982887928940114,-2.183531333557291,3.96
747.0,4006.0,17237.0,6056.0,905.0,526.0,39.0,-18.13346942148446,16.31484293179133,-22.66851216503343,5.387784323690443,14.961420819460981,-6.531216826839851,6.35
748.0,9053.0,20112.0,10565.0,882.0,513.0,39.0,7.730952094013413,-1.2395728778441726,-22.31960948937506,15.581470335683633,-3.193368824564245,7.4933264390734164,2.63
744.0,9479.0,18578.0,8798.0,781.0,660.0,27.0,-37.217271433757716,21.982355189537774,15.693097902062082,-9.897277677048645,-10.60981448917765,4.986572551618328,4.44
744.0,428.0,17173.0,11102.0,3324.0,748.0,27.0,-21.543181488711983,14.917331962353147,7.22830717995228,-11.581659982931452,-7.625346771914823,-3.989625260790738,2.06
741.0,1776.0,4416.0,4234.0,1207.0,1024.0,27.0,-44.83166716620578,7.29068914997363,0.8088965217440809,-6.226253449033505,-1.6747843202232968,2.1253703793020593,5.25
751.0,14847.0,19109.0,11173.0,724.0,425.0,39.0,4.135830185179405,-42.87915299268106,20.047961041195915,-11.437024756438609,26.65559312486559,11.790158073880814,3.29
744.0,19727.0,20104.0,12437.0,3519.0,308.0,27.0,19.65019188479485,101.45050855467296,35.029619677249514,-6.424024978039756,5.631693215160177,16.416749547213673,0.21
745.0,16573.0,18091.0,12729.0,1797.0,269.0,39.0,45.412752967224755,90.4241804507126,-4.1185070529392345,-20.144099946902728,-26.17789941672498,19.08138810542426,1.56
748.0,16657.0,15643.0,15499.0,1666.0,315.0,39.0,54.80442037353816,-34.01649056388146,-11.627446165270458,7.9505551628506215,-24.713600532523085,20.384779471727594,1.62
744.0,14211.0,5634.0,14863.0,1263.0,1024.0,27.0,-23.651062490981236,1.0045018004082982,1.1894239195733665,1.3573447601424162,13.921945596555668,4.448213011315278,6.61
743.0,3306.0,7307.0,12260.0,836.0,627.0,39.0,-8.239814589758305,10.123140549233211,0.7669396274838142,-7.883285362758142,-6.532463734405144,-5.260857488002735,0.82
750.0,17550.0,18392.0,10724.0,2009.0,266.0,39.0,60.48280508537148,-53.250157758174936,-4.3894748696421395,-39.475418842414726,-0.04147210786279313,-7.7239973199524075,0.68
750.0,3729.0,4570.0,12921.0,1567.0,469.0,27.0,-12.618797668638994,-31.453258063748994,21.18767955577468,23.11147205012037,-8.370219713935963,-2.3779550779818175,6.08
741.0,3036.0,2296.0,3971.0,1258.0,1024.0,27.0,-45.256129384638086,9.513284001128932,0.3955153676869894,-5.823783742241861,1.5343439292095997,3.443821714636366,5.33
748.0,7090.0,18178.0,24308.0,968.0,495.0,39.0,17.133883451739955,-18.020787868622268,4.7922370772547715,43.94827248527029,-6.755177283141443,0.39237290730065755,2.18
751.0,15642.0,19478.0,12303.0,1698.0,287.0,27.0,44.753773046663824,-66.52374150725406,35.02921144240844,-15.933226907041266,31.80600895090816,18.006182011304134,2.01
751.0,14762.0,18938.0,14524.0,950.0,490.0,27.0,1.2248397818391765,-37.65521308621757,13.830801372519685,0.054856879510743244,-0.233220689597997,-10.291573062680598,2.02
750.0,5549.0,17214.0,6394.0,803.0,350.0,27.0,13.162014088248847,-29.709132125497465,-9.415218055033467,-23.574094947792087,2.5713679302731682,-11.334946946114634,4.05
750.0,15300.0,17022.0,11018.0,1620.0,277.0,39.0,49.86627813151343,-58.23363180716077,20.64212009715721,-13.58130292164694,19.825419790902963,2.869713315362926,1.7
749.0,14964.0,10217.0,25028.0,1413.0,522.0,39.0,18.186965954026487,-29.630503083859864,8.390831363402249,28.185879945787498,-2.566235058033948,13.926254302812607,3.36
749.0,18664.0,19562.0,10588.0,1799.0,283.0,27.0,62.08724213497752,-31.46150530140167,-37.082131216774776,-37.34176735115389,-11.14773694524777,1.9049035654411277,2.74
748.0,17454.0,17163.0,12178.0,2054.0,269.0,27.0,73.82943006841555,-28.500117498208915,-38.68863877098424,-25.89298637645384,-20.997523184095435,21.01051788926904,2.6
751.0,8010.0,12604.0,9359.0,1684.0,305.0,27.0,8.706278450114297,-47.233678193592034,35.05477138639946,21.371008622976348,-1.4996075037795162,-1.8812980675046431,6.51
748.0,12080.0,18908.0,10629.0,1407.0,337.0,27.0,35.112544138967635,25.154088896084623,-19.88928094076302,40.77689641472257,-7.676624184272047,5.1330995688159895,7.51
748.0,3899.0,7931.0,8256.0,879.0,414.0,27.0,0.03210370396040439,-13.444494827360977,6.456644103975385,33.1867107550666,-10.240294665306916,-4.612078190379779,1.74
743.0,2036.0,6285.0,12080.0,1204.0,950.0,27.0,-22.35766168772487,-10.406911966853272,-1.186716214299919,-3.334803488730768,10.436407918354645,4.166739491697755,1.31
748.0,5146.0,14076.0,16072.0,2631.0,338.0,27.0,31.132390394517504,8.012805130500583,7.2478220073061,51.085038913115795,11.318461783802062,-29.357563660401496,1.49
