FP_IDX,FP_AMP1,FP_AMP2,CIR_PWR,MAX_NOISE,RXPACC,PREAM_LEN,CIR_PC1,CIR_PC2,CIR_PC3,CIR_PC4,CIR_PC5,CIR_PC6,CIR_PC7,CIR_PC8,NLOS,RANGE
745.0,18712.0,10250.0,11855.0,967.0,611.0,1024.0,-10.899240366250678,21.53668224622993,-1.6630856449467672,-9.069089759088955,-6.491537169568961,-2.4429945557752943,-6.911023290292574,-8.475661047276475,0.0,3.9
749.0,11239.0,6313.0,18968.0,1133.0,447.0,1024.0,28.390261475536413,-54.58712951612642,-34.08800684560951,-11.310027281461519,-6.32476038939119,-2.9968091636982965,2.7709424081820386,-1.6427575907910503,0.0,0.66
746.0,4355.0,5240.0,14699.0,894.0,723.0,1024.0,-17.58303287268207,-20.23449766813091,-10.943062925328569,-11.946256295141989,-3.60676677415382,-0.1736864538143235,-2.1443485045214974,0.6188151544433567,1.0,7.86
750.0,8502.0,8416.0,8748.0,1127.0,1024.0,1024.0,-39.103831267820944,-17.167942111026914,-1.792714402086126,-0.21670369677768667,-3.9210876759883404,-2.4078260571837204,-0.8078055040079803,0.7380496614209612,1.0,3.48
746.0,17845.0,18095.0,11380.0,1744.0,276.0,1024.0,55.25005825887845,56.398613105064754,22.352258581047405,-9.362802763886654,-8.034040904390837,-17.33396385085443,-0.7937287136335507,23.451694940730942,0.0,1.19
746.0,3446.0,13680.0,10256.0,1397.0,600.0,1024.0,-6.86346310292844,4.962565982697946,0.7831619505152323,8.034818206986154,-2.6485422868208857,-3.554186202309359,-10.777433889226819,16.098185262882573,1.0,1.27
748.0,18991.0,19444.0,13006.0,3904.0,283.0,1024.0,80.20005727475889,13.423382410542551,40.347519700029466,-19.82066667898783,7.5791815205659026,-11.89638565592971,-12.592273638955989,-1.7723931182845578,0.0,0.28
744.0,14781.0,10399.0,8025.0,1035.0,272.0,1024.0,20.229732865678212,58.397654682601335,-40.72785872800369,16.409829255190136,-12.187303850895098,2.244200085699314,-3.831822184808207,16.710502506729032,0.0,1.23
745.0,4053.0,8174.0,9956.0,1485.0,1024.0,1024.0,-39.301093201905864,-4.897802669862613,-6.189580389360839,-6.273368822744608,1.244753666487076,4.167126583472859,0.3152985162540499,2.825688793103767,1.0,4.99
749.0,10153.0,7675.0,11466.0,2487.0,301.0,1024.0,40.000522902419924,-42.388133914901495,-29.02453297617363,-35.70096162511227,17.69164819128079,6.188292345827187,11.044483000006947,12.537611404910134,0.0,1.17
749.0,12079.0,18968.0,12342.0,1187.0,278.0,1024.0,62.529284619154915,-42.74479867262458,16.449864535379206,19.262335996823403,25.24141429132665,-15.413392159739658,-42.334905100880896,9.945242479489597,0.0,1.28
745.0,122.0,17389.0,15848.0,1073.0,884.0,1024.0,-20.79507290508651,12.417897959437688,-4.980677811495222,0.25235910217900853,5.659193165113134,1.4666042448482175,0.6775404575787396,-1.5667309480302622,1.0,9.09
745.0,7665.0,908.0,9683.0,1421.0,282.0,1024.0,53.45295333298916,-18.28917471688721,14.978042802492897,2.2692885091625374,-14.435817946864812,-19.9379079442109,32.332175374180686,8.53893093555411,0.0,2.75
748.0,10985.0,16999.0,6106.0,967.0,473.0,1024.0,-11.828149953436915,-10.510420996901761,18.720532346096,-2.9495042985399174,17.372039657717703,-4.235547413243433,-13.992015830846777,-8.699664290624373,1.0,4.58
747.0,9955.0,19370.0,9304.0,1440.0,473.0,1024.0,7.99469594655727,10.745069139293632,25.444136907908664,-9.620875933056578,-1.4354657263429467,2.0968401937473478,-4.435643500514712,-8.134645572144425,1.0,1.23
746.0,9067.0,16420.0,8192.0,897.0,731.0,1024.0,-28.838065716918834,15.645701408491357,-0.8837368831564327,-6.937655948427571,-14.44134306293023,1.2249676041984405,-4.033501086229316,-0.948278796449393,1.0,2.71
744.0,10364.0,7633.0,10456.0,1354.0,272.0,1024.0,44.79595594979186,72.52068464801694,-12.880510451718918,2.25170533344084,2.4440751730460093,9.84623213191297,-5.707787062609478,0.0341073900231963,0.0,2.34
